id,company,company_logo,title,domain,city,state,location,type,stipend,duration,duration_months,skills,applications,rating,openings,posted_date,deadline,description,demand_score,growth_trend
4248,Fractal Analytics,🟢,MEAN Stack Intern,Full Stack Development,Hyderabad,Telangana,"Hyderabad, Telangana",Remote,75000,3 Months,3,React|Node.js|PostgreSQL|JavaScript|Flutter|Pytest,980,3.6,25,2025-05-05,2025-07-05,"Exciting MEAN Stack Intern opportunity at Fractal Analytics in the Full Stack Development domain. Work with cutting-edge technology in Hyderabad and gain hands-on experience with React, Node.js, PostgreSQL.",55.2,17.4
4249,Tiger Analytics,🟠,Quantum Computing Intern,Quantum Computing,Mysore,Karnataka,"Mysore, Karnataka",On-site,30000,2 Months,2,NumPy|Linear Algebra|Python|Machine Learning|Airflow|Terraform,452,4.2,9,2025-09-11,2025-11-11,"Exciting Quantum Computing Intern opportunity at Tiger Analytics in the Quantum Computing domain. Work with cutting-edge technology in Mysore and gain hands-on experience with NumPy, Linear Algebra, Python.",34.2,-3.6
4250,AbsolutData,🔵,Platform Engineer Intern,Software Development,Lucknow,Uttar Pradesh,"Lucknow, Uttar Pradesh",Remote,45000,5 Months,5,Python|Linux|Git|Java|Power BI|Recharts,548,4.1,7,2025-04-14,2025-06-14,"Exciting Platform Engineer Intern opportunity at AbsolutData in the Software Development domain. Work with cutting-edge technology in Lucknow and gain hands-on experience with Python, Linux, Git.",47.8,22.6
4251,LatentView,💜,Penetration Tester Intern,Cybersecurity,Raipur,Chhattisgarh,"Raipur, Chhattisgarh",On-site,18000,2 Months,2,SQL|Linux|Network Engineering|Python|Git|Sequelize,159,3.1,1,2025-06-19,2025-08-19,"Exciting Penetration Tester Intern opportunity at LatentView in the Cybersecurity domain. Work with cutting-edge technology in Raipur and gain hands-on experience with SQL, Linux, Network Engineering.",22.7,23.7
4252,Razorpay,💙,DBA Intern,Database Administration,Kochi,Kerala,"Kochi, Kerala",Hybrid,80000,5 Months,5,Python|Redis|SQL|PostgreSQL|Angular|SEO,494,4.0,1,2025-03-19,2025-05-19,"Exciting DBA Intern opportunity at Razorpay in the Database Administration domain. Work with cutting-edge technology in Kochi and gain hands-on experience with Python, Redis, SQL.",51.4,1.3
4253,BrowserStack,🟠,Business Analyst Intern,Business Analytics,Bangalore,Karnataka,"Bangalore, Karnataka",Remote,60000,5 Months,5,Tableau|Pandas|SQL|Excel|OpenCV|Jetpack Compose,1010,4.9,1,2025-03-08,2025-05-08,"Exciting Business Analyst Intern opportunity at BrowserStack in the Business Analytics domain. Work with cutting-edge technology in Bangalore and gain hands-on experience with Tableau, Pandas, SQL.",58.3,16.4
4254,Druva,🔵,Unreal Engine Intern,Game Development,Chandigarh,Punjab,"Chandigarh, Punjab",Remote,75000,4 Months,4,C++|C#|Three.js|Unity|Airflow|Matplotlib,170,2.8,5,2025-02-17,2025-04-17,"Exciting Unreal Engine Intern opportunity at Druva in the Game Development domain. Work with cutting-edge technology in Chandigarh and gain hands-on experience with C++, C#, Three.js.",47.9,35.4
4255,Icertis,🔵,Unreal Engine Intern,Game Development,Gurgaon,Haryana,"Gurgaon, Haryana",Remote,12000,4 Months,4,Three.js|C++|Unreal Engine|Unity|Ionic|Solana,3410,3.9,11,2025-04-19,2025-06-19,"Exciting Unreal Engine Intern opportunity at Icertis in the Game Development domain. Work with cutting-edge technology in Gurgaon and gain hands-on experience with Three.js, C++, Unreal Engine.",55.7,4.2
4256,Darwinbox,🟢,iOS Developer Intern,Mobile Development,Gurgaon,Haryana,"Gurgaon, Haryana",On-site,70000,6 Months,6,Firebase|Flutter|Swift|React Native|Pinecone|JIRA,110,3.7,11,2025-06-05,2025-08-05,"Exciting iOS Developer Intern opportunity at Darwinbox in the Mobile Development domain. Work with cutting-edge technology in Gurgaon and gain hands-on experience with Firebase, Flutter, Swift.",39.9,21.5
4257,Whatfix,💙,Angular Developer Intern,Frontend Development,Gurgaon,Haryana,"Gurgaon, Haryana",Remote,70000,1 Month,1,Tailwind CSS|Next.js|React|HTML/CSS|Hugging Face|Sass/LESS,644,3.2,2,2025-10-02,2025-12-02,"Exciting Angular Developer Intern opportunity at Whatfix in the Frontend Development domain. Work with cutting-edge technology in Gurgaon and gain hands-on experience with Tailwind CSS, Next.js, React.",48.4,-0.2
4258,CleverTap,🟣,Infrastructure Engineer Intern,DevOps,Ranchi,Jharkhand,"Ranchi, Jharkhand",Remote,60000,2 Months,2,Linux|CI/CD|Kubernetes|Jenkins|Firebase|Azure,341,3.6,11,2025-06-27,2025-08-27,"Exciting Infrastructure Engineer Intern opportunity at CleverTap in the DevOps domain. Work with cutting-edge technology in Ranchi and gain hands-on experience with Linux, CI/CD, Kubernetes.",44.8,31.4
4259,MoEngage,🔵,Business Analyst Intern,Product Management,Ranchi,Jharkhand,"Ranchi, Jharkhand",Hybrid,10000,5 Months,5,Agile|Excel|Scrum|Tableau|SwiftUI|Raspberry Pi,1079,4.5,2,2025-07-26,2025-09-26,"Exciting Business Analyst Intern opportunity at MoEngage in the Product Management domain. Work with cutting-edge technology in Ranchi and gain hands-on experience with Agile, Excel, Scrum.",38.2,16.8
4260,Chargebee,🟠,Technical Writer Intern,Technical Writing,Vadodara,Gujarat,"Vadodara, Gujarat",Remote,8000,2 Months,2,Markdown|Swagger|API Design|Git|JavaScript|Mocha,819,4.3,4,2025-02-08,2025-04-08,"Exciting Technical Writer Intern opportunity at Chargebee in the Technical Writing domain. Work with cutting-edge technology in Vadodara and gain hands-on experience with Markdown, Swagger, API Design.",35.6,27.0
4261,Freshdesk,🟢,Microservices Intern,Backend Development,Patna,Bihar,"Patna, Bihar",Remote,40000,4 Months,4,REST APIs|PostgreSQL|Node.js|Python|Scikit-learn|Hardhat,1270,4.5,11,2025-08-04,2025-10-04,"Exciting Microservices Intern opportunity at Freshdesk in the Backend Development domain. Work with cutting-edge technology in Patna and gain hands-on experience with REST APIs, PostgreSQL, Node.js.",52.2,33.2
4262,Haptik,💙,Data Pipeline Intern,Big Data Engineering,Vadodara,Gujarat,"Vadodara, Gujarat",On-site,40000,6 Months,6,Databricks|Python|Spark|Kafka|OpenCV|React,461,3.3,1,2025-09-13,2025-11-13,"Exciting Data Pipeline Intern opportunity at Haptik in the Big Data Engineering domain. Work with cutting-edge technology in Vadodara and gain hands-on experience with Databricks, Python, Spark.",31.8,29.1
4263,Niki.ai,🔵,Generative AI Intern,AI Research,Lucknow,Uttar Pradesh,"Lucknow, Uttar Pradesh",Remote,20000,3 Months,3,Hugging Face|Computer Vision|Python|TensorFlow|Machine Learning|MongoDB,630,4.7,16,2025-08-05,2025-10-05,"Exciting Generative AI Intern opportunity at Niki.ai in the AI Research domain. Work with cutting-edge technology in Lucknow and gain hands-on experience with Hugging Face, Computer Vision, Python.",43.0,33.3
4264,Observe.AI,🟢,Azure Engineer Intern,Cloud Computing,Indore,Madhya Pradesh,"Indore, Madhya Pradesh",On-site,45000,2 Months,2,Kubernetes|GCP|Docker|Linux|Unreal Engine|Kafka,581,3.4,4,2025-09-03,2025-11-03,"Exciting Azure Engineer Intern opportunity at Observe.AI in the Cloud Computing domain. Work with cutting-edge technology in Indore and gain hands-on experience with Kubernetes, GCP, Docker.",37.0,32.8
4265,Yellow.ai,🟡,Software Engineer Intern,Software Development,Kolkata,West Bengal,"Kolkata, West Bengal",Hybrid,80000,6 Months,6,Git|Agile|Java|SQL|Hardhat|Kafka,900,3.9,13,2025-07-19,2025-09-19,"Exciting Software Engineer Intern opportunity at Yellow.ai in the Software Development domain. Work with cutting-edge technology in Kolkata and gain hands-on experience with Git, Agile, Java.",53.9,-1.9
4266,Mindtickle,🔴,Game Developer Intern,Game Development,Noida,Uttar Pradesh,"Noida, Uttar Pradesh",Remote,75000,3 Months,3,Three.js|Unreal Engine|Python|C++|Vercel|Tailwind CSS,936,3.8,1,2025-06-11,2025-08-11,"Exciting Game Developer Intern opportunity at Mindtickle in the Game Development domain. Work with cutting-edge technology in Noida and gain hands-on experience with Three.js, Unreal Engine, Python.",57.2,28.3
4267,LeadSquared,🟢,Game Developer Intern,Game Development,Visakhapatnam,Andhra Pradesh,"Visakhapatnam, Andhra Pradesh",Remote,75000,5 Months,5,C++|Unity|Unreal Engine|Three.js|Angular|Xamarin,233,4.5,10,2025-03-24,2025-05-24,"Exciting Game Developer Intern opportunity at LeadSquared in the Game Development domain. Work with cutting-edge technology in Visakhapatnam and gain hands-on experience with C++, Unity, Unreal Engine.",52.4,5.5
4268,Capillary Tech,🔷,Network Security Intern,Network Engineering,Kolkata,West Bengal,"Kolkata, West Bengal",Remote,90000,5 Months,5,Python|Kubernetes|Networking|Docker|dbt|Google Analytics,326,4.4,14,2025-08-06,2025-10-06,"Exciting Network Security Intern opportunity at Capillary Tech in the Network Engineering domain. Work with cutting-edge technology in Kolkata and gain hands-on experience with Python, Kubernetes, Networking.",57.6,-7.9
4269,Delhivery,🔴,Business Analyst Intern,Business Analytics,Lucknow,Uttar Pradesh,"Lucknow, Uttar Pradesh",Hybrid,18000,5 Months,5,Tableau|Excel|Power BI|Python|Unreal Engine|Deep Learning,694,4.4,1,2025-06-24,2025-08-24,"Exciting Business Analyst Intern opportunity at Delhivery in the Business Analytics domain. Work with cutting-edge technology in Lucknow and gain hands-on experience with Tableau, Excel, Power BI.",35.5,14.4
4270,Rivigo,🔵,Business Analyst Intern,Business Analytics,Noida,Uttar Pradesh,"Noida, Uttar Pradesh",Hybrid,10000,1 Month,1,Excel|R|Python|Tableau|PostgreSQL|PyTorch,2689,4.8,1,2025-10-20,2025-12-20,"Exciting Business Analyst Intern opportunity at Rivigo in the Business Analytics domain. Work with cutting-edge technology in Noida and gain hands-on experience with Excel, R, Python.",48.4,29.4
4271,BlackBuck,🟢,Content Developer Intern,Technical Writing,Bangalore,Karnataka,"Bangalore, Karnataka",On-site,12000,3 Months,3,Git|HTML/CSS|Swagger|Content Writing|Tableau|Pandas,285,4.2,10,2025-06-20,2025-08-20,"Exciting Content Developer Intern opportunity at BlackBuck in the Technical Writing domain. Work with cutting-edge technology in Bangalore and gain hands-on experience with Git, HTML/CSS, Swagger.",27.3,-7.8
4272,Locus,🔵,Operations Analyst Intern,Business Analytics,Pune,Maharashtra,"Pune, Maharashtra",Hybrid,18000,2 Months,2,R|SQL|Pandas|Power BI|Content Writing|gRPC,630,4.6,3,2025-01-21,2025-03-21,"Exciting Operations Analyst Intern opportunity at Locus in the Business Analytics domain. Work with cutting-edge technology in Pune and gain hands-on experience with R, SQL, Pandas.",38.2,11.5
4273,Dunzo,🟢,Content Developer Intern,Technical Writing,Pune,Maharashtra,"Pune, Maharashtra",Remote,60000,4 Months,4,Git|Swagger|Markdown|HTML/CSS|Django|Nginx,2089,4.3,1,2025-07-12,2025-09-12,"Exciting Content Developer Intern opportunity at Dunzo in the Technical Writing domain. Work with cutting-edge technology in Pune and gain hands-on experience with Git, Swagger, Markdown.",61.2,-2.3
4274,Rapido,🟡,Edge Computing Intern,IoT,Jaipur,Rajasthan,"Jaipur, Rajasthan",Remote,35000,3 Months,3,Arduino|Raspberry Pi|C++|Python|Node.js|Web3.js,744,3.8,11,2025-08-15,2025-10-15,"Exciting Edge Computing Intern opportunity at Rapido in the IoT domain. Work with cutting-edge technology in Jaipur and gain hands-on experience with Arduino, Raspberry Pi, C++.",44.5,10.8
4275,Urban Company,🟢,Game Developer Intern,Game Development,Patna,Bihar,"Patna, Bihar",Remote,18000,1 Month,1,C++|Three.js|Unity|Unreal Engine|Plotly|Prisma,563,4.4,7,2025-05-25,2025-07-25,"Exciting Game Developer Intern opportunity at Urban Company in the Game Development domain. Work with cutting-edge technology in Patna and gain hands-on experience with C++, Three.js, Unity.",41.8,24.1
4276,Cars24,🔵,Data Platform Intern,Big Data Engineering,Coimbatore,Tamil Nadu,"Coimbatore, Tamil Nadu",Remote,80000,5 Months,5,Hadoop|Python|Spark|Airflow|Xamarin|Hugging Face,2125,4.3,3,2025-08-24,2025-10-24,"Exciting Data Platform Intern opportunity at Cars24 in the Big Data Engineering domain. Work with cutting-edge technology in Coimbatore and gain hands-on experience with Hadoop, Python, Spark.",66.2,27.7
4277,CarDekho,🔴,Database Engineer Intern,Database Administration,Coimbatore,Tamil Nadu,"Coimbatore, Tamil Nadu",On-site,28000,4 Months,4,Python|Elasticsearch|SQL|Redis|Microservices|JIRA,202,4.1,2,2025-09-05,2025-11-05,"Exciting Database Engineer Intern opportunity at CarDekho in the Database Administration domain. Work with cutting-edge technology in Coimbatore and gain hands-on experience with Python, Elasticsearch, SQL.",32.5,-5.8
4278,Spinny,🟡,Flutter Developer Intern,Mobile Development,Noida,Uttar Pradesh,"Noida, Uttar Pradesh",On-site,25000,1 Month,1,Flutter|REST APIs|React Native|Kotlin|OpenCV|Apache,81,3.4,1,2025-12-14,2025-12-14,"Exciting Flutter Developer Intern opportunity at Spinny in the Mobile Development domain. Work with cutting-edge technology in Noida and gain hands-on experience with Flutter, REST APIs, React Native.",28.1,13.3
4279,Cuemath,🟣,Test Automation Intern,Quality Assurance,Gurgaon,Haryana,"Gurgaon, Haryana",Hybrid,45000,4 Months,4,Playwright|Cypress|Postman|Jest|Flask|Scrum,1474,3.1,12,2025-10-24,2025-12-24,"Exciting Test Automation Intern opportunity at Cuemath in the Quality Assurance domain. Work with cutting-edge technology in Gurgaon and gain hands-on experience with Playwright, Cypress, Postman.",43.4,25.3
4280,Eruditus,🔵,Business Analyst Intern,Business Analytics,Coimbatore,Tamil Nadu,"Coimbatore, Tamil Nadu",Remote,25000,4 Months,4,Power BI|Pandas|R|Python|Kafka|CI/CD,108,4.6,20,2025-03-19,2025-05-19,"Exciting Business Analyst Intern opportunity at Eruditus in the Business Analytics domain. Work with cutting-edge technology in Coimbatore and gain hands-on experience with Power BI, Pandas, R.",39.0,20.0
4281,Great Learning,🔵,Hardware Engineer Intern,IoT,Kolkata,West Bengal,"Kolkata, West Bengal",Hybrid,28000,5 Months,5,C++|Raspberry Pi|MQTT|Edge Computing|Databricks|Azure,816,4.3,8,2025-08-15,2025-10-15,"Exciting Hardware Engineer Intern opportunity at Great Learning in the IoT domain. Work with cutting-edge technology in Kolkata and gain hands-on experience with C++, Raspberry Pi, MQTT.",40.9,10.1
4282,Simplilearn,🟠,Frontend Developer Intern,Frontend Development,Indore,Madhya Pradesh,"Indore, Madhya Pradesh",Hybrid,5000,4 Months,4,TypeScript|Next.js|HTML/CSS|React|GPT|Python,498,3.5,10,2025-03-24,2025-05-24,"Exciting Frontend Developer Intern opportunity at Simplilearn in the Frontend Development domain. Work with cutting-edge technology in Indore and gain hands-on experience with TypeScript, Next.js, HTML/CSS.",24.3,9.2
4283,Intellipaat,🔵,Database Engineer Intern,Database Administration,Coimbatore,Tamil Nadu,"Coimbatore, Tamil Nadu",On-site,100000,5 Months,5,PostgreSQL|Python|MongoDB|SQL|Unreal Engine|Snowflake,180,3.8,2,2025-07-23,2025-09-23,"Exciting Database Engineer Intern opportunity at Intellipaat in the Database Administration domain. Work with cutting-edge technology in Coimbatore and gain hands-on experience with PostgreSQL, Python, MongoDB.",52.2,22.2
4284,Emeritus,🟢,Network Engineer Intern,Network Engineering,Bangalore,Karnataka,"Bangalore, Karnataka",On-site,6000,5 Months,5,Linux|Cisco|Docker|Kubernetes|MQTT|Sass/LESS,268,3.9,13,2025-02-22,2025-04-22,"Exciting Network Engineer Intern opportunity at Emeritus in the Network Engineering domain. Work with cutting-edge technology in Bangalore and gain hands-on experience with Linux, Cisco, Docker.",23.7,10.7
4285,PhysicsWallah,🟣,XR Engineer Intern,AR/VR Development,Jaipur,Rajasthan,"Jaipur, Rajasthan",Remote,45000,5 Months,5,Unreal Engine|C++|Unity|OpenCV|Kubernetes|Web3.js,115,4.6,12,2025-04-22,2025-06-22,"Exciting XR Engineer Intern opportunity at PhysicsWallah in the AR/VR Development domain. Work with cutting-edge technology in Jaipur and gain hands-on experience with Unreal Engine, C++, Unity.",46.4,0.6
4286,Allen Digital,🔵,API Docs Writer Intern,Technical Writing,Gurgaon,Haryana,"Gurgaon, Haryana",On-site,8000,4 Months,4,HTML/CSS|Markdown|Content Writing|API Design|ROS|Plotly,4908,2.8,7,2025-09-08,2025-11-08,"Exciting API Docs Writer Intern opportunity at Allen Digital in the Technical Writing domain. Work with cutting-edge technology in Gurgaon and gain hands-on experience with HTML/CSS, Markdown, Content Writing.",51.5,9.4
4287,Testbook,🟢,Deep Learning Research Intern,Machine Learning,Dehradun,Uttarakhand,"Dehradun, Uttarakhand",Remote,40000,6 Months,6,Python|NLP|Scikit-learn|Deep Learning|Pytest|Playwright,2876,3.8,3,2025-09-05,2025-11-05,"Exciting Deep Learning Research Intern opportunity at Testbook in the Machine Learning domain. Work with cutting-edge technology in Dehradun and gain hands-on experience with Python, NLP, Scikit-learn.",61.3,18.6
4288,Gradeup,🟢,Backend Developer Intern,Software Development,Coimbatore,Tamil Nadu,"Coimbatore, Tamil Nadu",On-site,25000,6 Months,6,C++|Git|Agile|REST APIs|Spring Boot|dbt,882,4.1,3,2025-10-12,2025-12-12,"Exciting Backend Developer Intern opportunity at Gradeup in the Software Development domain. Work with cutting-edge technology in Coimbatore and gain hands-on experience with C++, Git, Agile.",33.1,17.4
4289,Toppr,🔵,Technical Writer Intern,Technical Writing,Chennai,Tamil Nadu,"Chennai, Tamil Nadu",Hybrid,70000,5 Months,5,Swagger|Content Writing|API Design|HTML/CSS|Node.js|Kubernetes,305,4.4,1,2025-06-04,2025-08-04,"Exciting Technical Writer Intern opportunity at Toppr in the Technical Writing domain. Work with cutting-edge technology in Chennai and gain hands-on experience with Swagger, Content Writing, API Design.",47.5,7.6
4290,Doubtnut,🔴,API Docs Writer Intern,Technical Writing,Thiruvananthapuram,Kerala,"Thiruvananthapuram, Kerala",On-site,18000,2 Months,2,Git|API Design|HTML/CSS|Markdown|Cypress|Heroku,1223,4.1,7,2025-11-02,2025-12-02,"Exciting API Docs Writer Intern opportunity at Doubtnut in the Technical Writing domain. Work with cutting-edge technology in Thiruvananthapuram and gain hands-on experience with Git, API Design, HTML/CSS.",38.3,23.9
4291,Google India,🔵,VLSI Design Intern,Embedded Systems,Bhopal,Madhya Pradesh,"Bhopal, Madhya Pradesh",Remote,8000,2 Months,2,Arduino|Raspberry Pi|C++|Python|BERT|Seaborn,2708,3.3,4,2025-10-18,2025-12-18,"Exciting VLSI Design Intern opportunity at Google India in the Embedded Systems domain. Work with cutting-edge technology in Bhopal and gain hands-on experience with Arduino, Raspberry Pi, C++.",46.2,22.5
4292,Microsoft India,🟦,Computer Vision Intern,AI Research,Kochi,Kerala,"Kochi, Kerala",Hybrid,100000,1 Month,1,PyTorch|NLP|Deep Learning|TensorFlow|Spark|API Design,1209,4.0,12,2025-07-25,2025-09-25,"Exciting Computer Vision Intern opportunity at Microsoft India in the AI Research domain. Work with cutting-edge technology in Kochi and gain hands-on experience with PyTorch, NLP, Deep Learning.",60.3,31.1
4293,Amazon India,🟠,XR Engineer Intern,AR/VR Development,Patna,Bihar,"Patna, Bihar",Remote,35000,6 Months,6,Unreal Engine|OpenCV|Python|C++|Next.js|Kotlin,1297,4.2,3,2025-02-15,2025-04-15,"Exciting XR Engineer Intern opportunity at Amazon India in the AR/VR Development domain. Work with cutting-edge technology in Patna and gain hands-on experience with Unreal Engine, OpenCV, Python.",49.7,2.2
4294,Flipkart,🟡,Business Intelligence Intern,Data Science,Pune,Maharashtra,"Pune, Maharashtra",Remote,5000,5 Months,5,Power BI|Scikit-learn|Pandas|NumPy|OpenAI API|AWS,57,3.4,2,2025-03-09,2025-05-09,"Exciting Business Intelligence Intern opportunity at Flipkart in the Data Science domain. Work with cutting-edge technology in Pune and gain hands-on experience with Power BI, Scikit-learn, Pandas.",26.3,-2.4
4295,Infosys,🔷,Flutter Developer Intern,Mobile Development,Delhi NCR,Delhi,"Delhi NCR, Delhi",Remote,18000,1 Month,1,Firebase|REST APIs|Swift|Kotlin|Node.js|Next.js,146,3.8,2,2025-09-17,2025-11-17,"Exciting Flutter Developer Intern opportunity at Infosys in the Mobile Development domain. Work with cutting-edge technology in Delhi NCR and gain hands-on experience with Firebase, REST APIs, Swift.",32.7,-4.7
4296,TCS,🔶,Conversational AI Intern,Natural Language Processing,Patna,Bihar,"Patna, Bihar",Hybrid,50000,5 Months,5,GPT|LangChain|NLP|TensorFlow|Socket.io|OpenAI API,2623,4.3,3,2025-02-15,2025-04-15,"Exciting Conversational AI Intern opportunity at TCS in the Natural Language Processing domain. Work with cutting-edge technology in Patna and gain hands-on experience with GPT, LangChain, NLP.",59.8,-3.1
4297,Wipro,🟢,Strategy Intern,Product Management,Chennai,Tamil Nadu,"Chennai, Tamil Nadu",Remote,28000,4 Months,4,JIRA|Scrum|Tableau|Excel|Microservices|Matplotlib,57,3.7,1,2025-07-20,2025-09-20,"Exciting Strategy Intern opportunity at Wipro in the Product Management domain. Work with cutting-edge technology in Chennai and gain hands-on experience with JIRA, Scrum, Tableau.",35.3,27.0
4298,Zoho,🔴,Platform Engineer Intern,Software Development,Mysore,Karnataka,"Mysore, Karnataka",Remote,30000,2 Months,2,Agile|Python|Java|Linux|Deep Learning|Kotlin,114,3.8,5,2025-08-13,2025-10-13,"Exciting Platform Engineer Intern opportunity at Zoho in the Software Development domain. Work with cutting-edge technology in Mysore and gain hands-on experience with Agile, Python, Java.",38.1,-2.6
4299,Razorpay,💙,Big Data Engineer Intern,Big Data Engineering,Kolkata,West Bengal,"Kolkata, West Bengal",On-site,100000,2 Months,2,Airflow|Spark|Kafka|SQL|Supabase|gRPC,217,4.5,3,2025-06-25,2025-08-25,"Exciting Big Data Engineer Intern opportunity at Razorpay in the Big Data Engineering domain. Work with cutting-edge technology in Kolkata and gain hands-on experience with Airflow, Spark, Kafka.",57.2,-3.3
4300,Swiggy,🧡,Firmware Developer Intern,Embedded Systems,Indore,Madhya Pradesh,"Indore, Madhya Pradesh",On-site,50000,4 Months,4,Arduino|C++|Linux|MQTT|Flutter|Solidity,2028,3.8,4,2025-07-11,2025-09-11,"Exciting Firmware Developer Intern opportunity at Swiggy in the Embedded Systems domain. Work with cutting-edge technology in Indore and gain hands-on experience with Arduino, C++, Linux.",48.2,34.0
4301,Zomato,❤️,SDET Intern,Quality Assurance,Mysore,Karnataka,"Mysore, Karnataka",On-site,12000,2 Months,2,Playwright|Jest|Postman|Cypress|Angular|SEO,457,3.9,1,2025-06-27,2025-08-27,"Exciting SDET Intern opportunity at Zomato in the Quality Assurance domain. Work with cutting-edge technology in Mysore and gain hands-on experience with Playwright, Jest, Postman.",26.3,0.3
4302,PhonePe,💜,NLP Engineer Intern,Natural Language Processing,Jaipur,Rajasthan,"Jaipur, Rajasthan",Hybrid,30000,2 Months,2,TensorFlow|GPT|LangChain|Hugging Face|MQTT|Tailwind CSS,894,4.1,4,2025-11-20,2025-12-20,"Exciting NLP Engineer Intern opportunity at PhonePe in the Natural Language Processing domain. Work with cutting-edge technology in Jaipur and gain hands-on experience with TensorFlow, GPT, LangChain.",41.5,-7.9
4303,CRED,⚫,Backend Developer Intern,Software Development,Indore,Madhya Pradesh,"Indore, Madhya Pradesh",Remote,3000,6 Months,6,C++|Agile|REST APIs|Java|Sequelize|Heroku,1300,3.9,5,2025-06-06,2025-08-06,"Exciting Backend Developer Intern opportunity at CRED in the Software Development domain. Work with cutting-edge technology in Indore and gain hands-on experience with C++, Agile, REST APIs.",39.7,22.4
4304,Paytm,💎,Technical Writer Intern,Technical Writing,Chandigarh,Punjab,"Chandigarh, Punjab",Remote,8000,3 Months,3,HTML/CSS|API Design|Swagger|Content Writing|Playwright|Raspberry Pi,605,4.4,20,2025-10-17,2025-12-17,"Exciting Technical Writer Intern opportunity at Paytm in the Technical Writing domain. Work with cutting-edge technology in Chandigarh and gain hands-on experience with HTML/CSS, API Design, Swagger.",36.6,24.0
4305,Freshworks,💚,Hardware Engineer Intern,IoT,Indore,Madhya Pradesh,"Indore, Madhya Pradesh",On-site,18000,2 Months,2,MQTT|Python|AWS|Edge Computing|GPT|Web3.js,1472,3.9,8,2025-11-13,2025-12-13,"Exciting Hardware Engineer Intern opportunity at Freshworks in the IoT domain. Work with cutting-edge technology in Indore and gain hands-on experience with MQTT, Python, AWS.",37.8,31.8
4306,Byju's,🟣,Video Analytics Intern,Computer Vision,Ahmedabad,Gujarat,"Ahmedabad, Gujarat",Remote,90000,6 Months,6,Python|TensorFlow|Deep Learning|Computer Vision|Azure|API Design,296,4.2,2,2025-02-10,2025-04-10,"Exciting Video Analytics Intern opportunity at Byju's in the Computer Vision domain. Work with cutting-edge technology in Ahmedabad and gain hands-on experience with Python, TensorFlow, Deep Learning.",60.4,9.2
4307,Ola,🖤,3D Developer Intern,AR/VR Development,Ahmedabad,Gujarat,"Ahmedabad, Gujarat",On-site,28000,3 Months,3,Unity|Python|Three.js|C++|Ansible|NumPy,2359,4.2,2,2025-11-05,2025-12-05,"Exciting 3D Developer Intern opportunity at Ola in the AR/VR Development domain. Work with cutting-edge technology in Ahmedabad and gain hands-on experience with Unity, Python, Three.js.",48.6,11.4
4308,Meesho,🩷,Perception Engineer Intern,Computer Vision,Gurgaon,Haryana,"Gurgaon, Haryana",On-site,10000,1 Month,1,Deep Learning|TensorFlow|PyTorch|OpenCV|Solana|FastAPI,395,3.8,2,2025-06-23,2025-08-23,"Exciting Perception Engineer Intern opportunity at Meesho in the Computer Vision domain. Work with cutting-edge technology in Gurgaon and gain hands-on experience with Deep Learning, TensorFlow, PyTorch.",28.4,30.3
4309,Groww,🌟,Database Engineer Intern,Database Administration,Hyderabad,Telangana,"Hyderabad, Telangana",Remote,50000,4 Months,4,Redis|SQL|MongoDB|Elasticsearch|OpenAI API|GPT,754,4.7,1,2025-11-07,2025-12-07,"Exciting Database Engineer Intern opportunity at Groww in the Database Administration domain. Work with cutting-edge technology in Hyderabad and gain hands-on experience with Redis, SQL, MongoDB.",52.1,26.5
4310,Zerodha,⭐,Business Analyst Intern,Product Management,Indore,Madhya Pradesh,"Indore, Madhya Pradesh",Remote,28000,2 Months,2,Excel|JIRA|Figma|SQL|Ansible|OpenCV,103,3.4,1,2025-05-15,2025-07-15,"Exciting Business Analyst Intern opportunity at Zerodha in the Product Management domain. Work with cutting-edge technology in Indore and gain hands-on experience with Excel, JIRA, Figma.",34.6,4.4
4311,Reliance Digital,🔵,Data Science Intern,Data Science,Nagpur,Maharashtra,"Nagpur, Maharashtra",On-site,10000,6 Months,6,Python|NumPy|Power BI|Tableau|Elasticsearch|Jenkins,484,4.0,2,2025-12-21,2025-12-21,"Exciting Data Science Intern opportunity at Reliance Digital in the Data Science domain. Work with cutting-edge technology in Nagpur and gain hands-on experience with Python, NumPy, Power BI.",30.3,13.0
4312,Tata Digital,🏛️,Full Stack Developer Intern,Full Stack Development,Mumbai,Maharashtra,"Mumbai, Maharashtra",Remote,35000,6 Months,6,TypeScript|React|PostgreSQL|MongoDB|Spring Boot|D3.js,733,4.0,8,2025-11-18,2025-12-18,"Exciting Full Stack Developer Intern opportunity at Tata Digital in the Full Stack Development domain. Work with cutting-edge technology in Mumbai and gain hands-on experience with TypeScript, React, PostgreSQL.",41.9,-2.1
4313,Accenture India,🟩,Quantum Computing Intern,Quantum Computing,Patna,Bihar,"Patna, Bihar",Remote,90000,6 Months,6,Python|Machine Learning|Qiskit|NumPy|React|Power BI,322,4.3,1,2025-01-23,2025-03-23,"Exciting Quantum Computing Intern opportunity at Accenture India in the Quantum Computing domain. Work with cutting-edge technology in Patna and gain hands-on experience with Python, Machine Learning, Qiskit.",59.7,29.8
